Index,Symbol,Name,Market,Sector,FullName
219,GOOG,Alphabet Inc.,,Communication Services,Alphabet Inc.
220,DJTWW,Trump Media & Technology Group ,,Communication Services,Trump Media & Technology Group Corp.
221,C,"Citigroup, Inc.",,Financial Services,Citigroup Inc.
222,FSLR,"First Solar, Inc.",,Technology,"First Solar, Inc."
223,BSX,Boston Scientific Corporation,,Healthcare,Boston Scientific Corporation
224,U,Unity Software Inc.,,Technology,Unity Software Inc.
225,VKTX,"Viking Therapeutics, Inc.",N/A,Healthcare,"Viking Therapeutics, Inc."
226,FTAI,FTAI Aviation Ltd.,N/A,Industrials,FTAI Aviation Ltd.
227,BOX,"Box, Inc.",,Technology,"Box, Inc."
228,KGC,Kinross Gold Corporation,,Basic Materials,Kinross Gold Corporation
229,TYL,"Tyler Technologies, Inc.",,Technology,"Tyler Technologies, Inc."
230,AAL,"American Airlines Group, Inc.",,Industrials,American Airlines Group Inc.
231,JPM,JP Morgan Chase & Co.,,Financial Services,JPMorgan Chase & Co.
232,OWL,Blue Owl Capital Inc.,,Financial Services,Blue Owl Capital Inc.
233,GEV,GE Vernova Inc.,,Utilities,GE Vernova Inc.
234,APPF,"AppFolio, Inc.",N/A,Technology,"AppFolio, Inc."
235,APP,Applovin Corporation,,Technology,AppLovin Corporation
236,LDOS,"Leidos Holdings, Inc.",,Technology,"Leidos Holdings, Inc."
237,RIOT,"Riot Platforms, Inc.",,Financial Services,"Riot Platforms, Inc."
238,PARA,Paramount Global,,Communication Services,Paramount Global
239,BTE,Baytex Energy Corp,,Energy,Baytex Energy Corp.
240,NOK,Nokia Corporation Sponsored,,Technology,Nokia Oyj
241,NEM,Newmont Corporation,,Basic Materials,Newmont Corporation
242,AVAV,"AeroVironment, Inc.",,Industrials,"AeroVironment, Inc."
243,NVAX,"Novavax, Inc.",,Healthcare,"Novavax, Inc."
244,SAVA,"Cassava Sciences, Inc.",,Healthcare,"Cassava Sciences, Inc."
245,IT,"Gartner, Inc.",,Technology,"Gartner, Inc."
246,RTX,RTX Corporation,,Industrials,RTX Corporation
247,IONQ,"IonQ, Inc.",,Technology,"IonQ, Inc."
248,EXC,Exelon Corporation,,Utilities,Exelon Corporation
249,DLR,"Digital Realty Trust, Inc.",N/A,Real Estate,"Digital Realty Trust, Inc."
250,MPW,"Medical Properties Trust, Inc.",,Real Estate,"Medical Properties Trust, Inc."
251,S&P 500,,,,
252,IBN,ICICI Bank Limited,,Financial Services,ICICI Bank Limited
253,ADMA,ADMA Biologics Inc,,Healthcare,"ADMA Biologics, Inc."
254,ERIC,Ericsson,,Technology,Telefonaktiebolaget LM Ericsson (publ)
255,YMM,Full Truck Alliance Co. Ltd.,,Technology,Full Truck Alliance Co. Ltd.
256,NGD,New Gold Inc.,,Basic Materials,New Gold Inc.
257,LLY,Eli Lilly and Company,N/A,Healthcare,Eli Lilly and Company
258,PFE,"Pfizer, Inc.",,Healthcare,Pfizer Inc.
259,STX,Seagate Technology Holdings PLC,,Technology,Seagate Technology Holdings plc
260,CVNA,Carvana Co.,N/A,Consumer Cyclical,Carvana Co.
261,RF,Regions Financial Corporation,,Financial Services,Regions Financial Corporation
262,BAH,Booz Allen Hamilton Holding Cor,N/A,Industrials,Booz Allen Hamilton Holding Corporation
263,BMA,Banco Macro S.A.,N/A,Financial Services,Banco Macro S.A.
264,NOW,"ServiceNow, Inc.",,Technology,"ServiceNow, Inc."
265,ABNB,"Airbnb, Inc.",,Consumer Cyclical,"Airbnb, Inc."
266,USB,U.S. Bancorp,,Financial Services,U.S. Bancorp
267,CLF,Cleveland-Cliffs Inc.,,Basic Materials,Cleveland-Cliffs Inc.
268,HST,"Host Hotels & Resorts, Inc.",,Real Estate,"Host Hotels & Resorts, Inc."
269,Russell 2000,,,,
270,TEM,"Tempus AI, Inc.",,Healthcare,"Tempus AI, Inc"
271,SOFI,"SoFi Technologies, Inc.",,Financial Services,"SoFi Technologies, Inc."
272,TFC,Truist Financial Corporation,,Financial Services,Truist Financial Corporation
273,JD,"JD.com, Inc.",,Consumer Cyclical,"JD.com, Inc."
274,LYG,Lloyds Banking Group Plc,,Financial Services,Lloyds Banking Group plc
275,IOVA,"Iovance Biotherapeutics, Inc.",,Healthcare,"Iovance Biotherapeutics, Inc."
276,AQN,Algonquin Power & Utilities Cor,,Utilities,Algonquin Power & Utilities Corp.
277,PYPL,"PayPal Holdings, Inc.",,Financial Services,"PayPal Holdings, Inc."
278,BP,BP p.l.c.,,Energy,BP p.l.c.
