209,HR,Healthcare Realty Trust Incorpo,N/A,Real Estate
210,WBD,"Warner Bros. Discovery, Inc. - ",N/A,Communication Services
211,LI,Li Auto Inc.,N/A,Consumer Cyclical
212,VOD,Vodafone Group Plc,N/A,Communication Services
213,RIG,Transocean Ltd (Switzerland),N/A,Energy
214,MNST,Monster Beverage Corporation,N/A,Consumer Defensive
215,DELL,Dell Technologies Inc.,N/A,Technology
216,GSAT,"Globalstar, Inc.",N/A,Communication Services
217,ROIV,Roivant Sciences Ltd.,N/A,Healthcare
218,USB,U.S. Bancorp,N/A,Financial Services
219,VALE,VALE S.A.,N/A,Basic Materials
220,SHOP,Shopify Inc.,N/A,Technology
221,GRAB,Grab Holdings Limited,N/A,Technology
222,IBM,International Business Machines,N/A,Technology
223,DOC,"Healthpeak Properties, Inc.",N/A,Real Estate
224,ABNB,"Airbnb, Inc.",N/A,Consumer Cyclical
225,SMMT,Summit Therapeutics Inc.,N/A,Healthcare
226,BMY,Bristol-Myers Squibb Company,N/A,Healthcare
227,Russell 2000 Futures,N/A,N/A,N/A
228,FE,FirstEnergy Corp.,N/A,Utilities
229,CNH,CNH Industrial N.V.,N/A,Industrials
230,ADMA,ADMA Biologics Inc,N/A,Healthcare
231,DJT,Trump Media & Technology Group ,N/A,Communication Services
232,RKLB,"Rocket Lab USA, Inc.",N/A,Industrials
233,BAC,Bank of America Corporation,N/A,Financial Services
234,GOOGL,Alphabet Inc.,N/A,Communication Services
235,KHC,The Kraft Heinz Company,N/A,Consumer Defensive
236,AA,Alcoa Corporation,N/A,Basic Materials
237,IOVA,"Iovance Biotherapeutics, Inc.",N/A,Healthcare
238,GAP,"Gap, Inc. (The)",N/A,Consumer Cyclical
